RAID|KUID|HUID|Tittel|Navn|HUIDFar|HUIDMor|IDNR|FargeBeskrivelse|FargeVariant|AD|HD|Haarlag|IDMerk|Kjoenn|PEID|EndretAv|EndretDato|RegDato|Stoerrelse
306||&62/6565||TIM|DK22871/|&56/921|1010378|||||||H|||||
306||&62/7437||PIA|||1010451|||||||T|||||
306||&6808/69||HEIDI|&62/627|&64/7437|1018981||||A|||T|||||
306||&6810/69||KONN|&62/627|&62/7437|1018989|||||||H|||||
306||&7177/71||LUNA|DK295172|&67/5700|1019363||||A|||T|||||
306|401852|&7180/71||SOFUS|DK295172|&67/5700|1019367|BRUN OG HVIT|||A|||H|8101465||||
306|401851|&7176/71||LISS|DK295172|&67/5700|1019361|BRUN OG HVIT|||A|||T|8101464||||
306||&7701/71||STEGGEN|&6756/69|&2315/69|1019838|||||||H|||||
306|403134|00553/69NJHR||STEGG|&58/2199|&65/6046|1050745|HVIT/RØD||||||H|8114782||||
306|404651|00402/73||GAUPEDALEN'S RITA|&68/10669|&4210/69|1045003|BRUN/HVIT||||||T|8112180||||
306|404651|00404/73||GAUPEDALEN'S SENTA|&68/10669|&4210/69|1045078|BRUN/HVIT||||||T|8112213||||
306|404651|00406/73||GAUPEDALEN'S LI-LI|&68/10669|&4210/69|1045154|BRUN/HVIT||||||T|8112245||||
306|404651|00407/73||GAUPEDALEN'S TOPZI|&68/10669|&4210/69|1045192|BRUN/HVIT||||||T|8112261||||
306|404651|00408/73||GAUPEDALEN'S BASSE|&68/10669|&4210/69|1045230|BRUN/HVIT||||||H|3254546||||
306|404651|00403/73||GAUPEDALEN'S DIXI|&68/10669|&4210/69|1045041|BRUN/HVIT||||||T|8112200||||
306|404651|00405/73||GAUPEDALEN'S LAIKA|&68/10669|&4210/69|1045116|BRUN/HVIT||||||T|8112230||||
306|418795|04608/76||STILLERUD'S MIRO|05841/73|&7176/71|1176049|BRUN/HVIT|||A|||H|3213357||||
306|418795|04611/76||STILLERUD'S LIZZI|05841/73|&7176/71|1176145|BRUN-HVIT|||A|||T|8163399||||
306|422704|05893/77||TANJA|&67/5706|DKK467/73|1215117|HVIT M/BR TEGN||||||T|3290367|#XU|21.03.1999||
306|422704|05896/77||GOLDIE|&67/5706|DKK467/73|1215208|HVIT M/BR TEGN|||C|||T|8177958||||
306|422704|05897/77||BEAUTI|&67/5706|DKK467/73|1215236|HVIT M/BR TEGN||||||T|8177967||||
306|981252|05902/98||PERKARS FANNY|20208/95|17860/93|1215397|BRUN/HVIT||||||T|3453959|BK|15.06.1998|17.04.1998|
306|981252|05901/98||PERKARS MAIA|20208/95|17860/93|1215368|BRUN/HVIT|||D||M|T|3007874|ton|30.06.1999|17.04.1998|
306|422704|05895/77||LITA|&67/5706|DKK467/73|1215177|HVIT M/BR TEGN|||A|||T|3103594||||
306|001274|04751/00||STILLERUD'S KEEDO|FIN40258/98|44914/94|1180381|HVIT/ORANGE|||B||M|H|3500141|ton|30.05.2001|29.03.2000|
